project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月,pre_avg,post_avg,pre_std,post_std,absolute_change,relative_change,pre_trend_r2,post_trend_r2,pre_trend_slope,post_trend_slope,pre_zscore,post_zscore,zscore_change
dokploy,2024-05-31T06:53:21.538Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,55,0.0,14.375,0.0,26.650850964703867,14.375,inf,0.0,0.5617610966448177,0.0,0.0,-0.43923667182883946,1.1463564346825774,1.5855931065114168
milkdown,2021-07-16T05:06:22.824Z,0,0,0,0,0,0,0,0,0,0,0,0,3,28,37,27,18,0.0,14.125,0.0,15.207493453651628,14.125,inf,0.0,0.5795066385754364,0.0,0.0,-0.43923667182883946,1.1169321197716122,1.5561687916004516
codeeditapp,2022-03-30T03:59:21.133Z,0,0,0,0,0,0,0,0,0,29,23,12,7,12,11,17,2,0.0,14.125,0.0,8.659222993845512,14.125,inf,0.0,0.5340160355640234,0.0,0.0,-0.43923667182883946,1.1169321197716122,1.5561687916004516
dexiejs,2023-04-20T10:14:43.728Z,0,0,0,0,0,0,0,0,0,12,13,13,19,11,7,14,21,0.0,13.75,0.0,4.432026302139591,13.75,inf,0.0,0.07636363636363638,0.0,0.0,-0.43923667182883946,1.0727956474051645,1.512032319234004
reach-ui,2019-10-22T16:46:06.645Z,0,0,0,16,18,13,8,6,19,25,14,19,27,20,28,21,15,7.625,21.125,7.405355205139434,5.221863378417434,13.5,1.7704918032786885,0.23459087314509008,0.007016559079427451,0.0,0.0,0.8641958668730286,1.9408129372786376,1.076617070405609
javascript-obfuscator,2017-06-02T12:44:38.425Z,0,0,0,0,0,0,0,0,2,17,10,17,10,15,13,14,12,0.0,13.5,0.0,2.7774602993176543,13.5,inf,0.0,0.053350970017636695,0.0,0.0,-0.43923667182883946,1.0433713324941993,1.4826080043230387
bluez,2024-01-25T17:48:20.036Z,0,0,0,0,9,19,24,29,32,19,33,27,23,26,20,20,21,10.125,23.625,12.182393618895848,4.779046527738113,13.5,1.3333333333333333,0.8670150288487435,0.1772590193231319,0.0,0.0,1.2915507975949527,2.2350560863882896,0.9435052887933368
laradock,2019-01-30T16:37:36.407Z,0,0,0,0,0,0,0,0,0,0,0,0,12,23,16,28,29,0.0,13.5,0.0,12.51285053740468,13.5,inf,0.0,0.8776720542231492,0.0,0.0,-0.43923667182883946,1.0433713324941993,1.4826080043230387
bluez,2024-01-25T17:48:20.036Z,0,0,0,0,9,19,24,29,32,19,33,27,23,26,20,20,21,10.125,23.625,12.182393618895848,4.779046527738113,13.5,1.3333333333333333,0.8670150288487435,0.1772590193231319,0.0,0.0,1.2915507975949527,2.2350560863882896,0.9435052887933368
mlem,2023-10-30T16:15:06.646Z,0,0,0,0,0,0,0,0,0,0,16,6,29,11,16,13,13,0.0,13.0,0.0,8.417668492946419,13.0,inf,0.0,0.09293394777265748,0.0,0.0,-0.43923667182883946,0.9845227026722689,1.4237593745011083
