project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月,pre_avg,post_avg,pre_std,post_std,absolute_change,relative_change,pre_trend_r2,post_trend_r2,pre_trend_slope,post_trend_slope,pre_zscore,post_zscore,zscore_change
gtk-rs,2020-04-02T16:48:36.029Z,6,2,3,3,3,4,10,6,10,14,5,10,8,12,12,8,11,4.625,10.0,2.615202805574687,2.8784916685156974,5.375,1.162162162162162,0.2298893447718513,0.001642036124794746,0.0,0.0,0.46513180198498383,1.5645754012547863,1.0994435992698026
tusky,2019-02-01T15:06:01.276Z,8,6,11,7,8,8,5,5,10,11,12,16,15,10,13,13,11,7.25,12.625,1.9820624179302297,2.0658792662827956,5.375,0.7413793103448276,0.2502164502164503,0.016138673042438736,0.0,0.0,1.1480655905444759,2.1642269049316747,1.0161613143871988
jellyfin,2019-02-07T05:23:11.906Z,0,0,1,0,1,1,17,18,14,14,8,6,11,8,8,13,13,4.75,10.125,7.887603293414655,2.9970223317724636,5.375,1.131578947368421,0.6142911814553608,0.04174950298210737,0.0,0.0,0.4976524585830549,1.5931302347632095,1.0954777761801546
amethyst,2018-11-27T09:01:25.452Z,5,7,6,6,6,12,12,19,16,16,12,11,12,16,16,19,13,9.125,14.375,4.85320218294802,2.774243783705493,5.25,0.5753424657534246,0.7177515433770173,0.12031819688432221,0.0,0.0,1.6358754395155415,2.5639945740496,0.9281191345340585
lando,2019-12-31T16:49:24.544Z,4,9,11,12,5,5,6,5,6,8,9,24,13,15,13,10,6,7.125,12.25,3.090885217631258,5.599744892148467,5.125,0.7192982456140351,0.09692923898531378,0.04338865386701377,0.0,0.0,1.1155449339464047,2.078562404406405,0.9630174704600003
opensourcebim,2020-12-29T21:05:11.578Z,4,4,3,5,5,4,7,12,13,13,10,9,9,12,7,13,12,5.5,10.625,2.8784916685156974,2.1998376563477846,5.125,0.9318181818181818,0.5619868637110018,0.004392901071867861,0.0,0.0,0.6927763981714812,1.7073495687969025,1.0145731706254213
mvvmcross,2017-04-25T12:51:57.157Z,10,10,9,7,6,6,8,8,11,16,13,10,16,12,13,9,15,8.0,13.0,1.6035674514745462,2.6186146828319083,5.0,0.625,0.38227513227513243,0.060019841269841286,0.0,0.0,1.3431895301329022,2.2498914054569443,0.9067018753240421
sched-ext,2024-11-22T20:28:52.938Z,7,8,11,13,9,11,13,11,17,13,13,9,17,14,15,23,19,10.375,15.375,2.1998376563477846,4.274091382136927,5.0,0.4819277108433735,0.4218942189421896,0.5329330168039845,0.0,0.0,1.9610820054962521,2.792433242116986,0.8313512366207338
zrythm,2020-04-13T13:19:09.046Z,4,5,7,1,3,3,3,6,6,6,6,7,10,18,9,8,8,4.0,9.0,1.927248223318863,3.8913824205360674,5.0,1.25,0.008241758241758242,0.08108715184186882,0.0,0.0,0.30252851899462857,1.3361367331874003,1.0336082141927718
gotosocial,2022-06-01T19:43:13.733Z,3,3,4,5,3,3,6,10,5,5,5,4,6,16,14,16,10,4.625,9.5,2.445841952609133,5.18238775634773,4.875,1.054054054054054,0.49481165600568616,0.535081053698075,0.0,0.0,0.46513180198498383,1.4503560672210933,0.9852242652361095
autokeras,2018-11-12T17:09:26.328Z,1,2,1,1,3,10,3,4,6,10,17,10,12,5,0,6,3,3.125,7.875,2.9970223317724636,5.436319658424385,4.75,1.52,0.28637697623781133,0.5720328010358222,0.0,0.0,0.0748839228081312,1.079143231611591,1.0042593088034597
kornia,2021-05-22T10:17:27.484Z,7,9,6,5,3,2,4,6,10,11,8,9,11,15,10,6,9,5.25,9.875,2.2519832529192065,2.6423744732991303,4.625,0.8809523809523809,0.35479543930248164,0.03519668737060042,0.0,0.0,0.6277350849753391,1.536020567746363,0.9082854827710238
