project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月
chakra-ui,2019-10-12T15:26:27.648Z,0,0,0,0,40,44,159,218,149,93,121,77,206,307,268,301,493
opensid,2019-11-26T20:53:15.317Z,114,77,68,62,92,70,56,171,137,50,103,210,193,360,439,454,277
sympy,2021-06-16T13:35:18.278Z,9,13,283,348,229,214,318,190,436,451,428,263,467,311,333,289,389
sequel-ace,2020-09-05T15:37:29.808Z,16,1,0,0,0,306,227,56,67,216,416,393,396,230,163,57,47
hoppscotch,2019-10-14T16:13:59.176Z,0,0,0,0,0,0,225,162,152,387,134,267,263,173,101,134,144
vuepress-theme-hope,2021-09-13T00:38:32.733Z,0,0,0,0,0,152,6,22,12,17,4,3,188,441,248,178,316
stdlib,2023-11-17T14:10:02.043Z,132,91,17,181,262,397,283,296,362,423,539,321,387,311,117,339,390
lando,2019-12-31T16:49:24.544Z,7,48,34,52,98,38,38,43,82,72,150,374,232,227,209,175,48
mudblazor,2020-11-12T21:16:48.785Z,0,0,0,0,0,42,368,538,609,582,585,278,150,59,84,171,136
intelligo,2019-04-17T01:54:28.551Z,0,0,2,1,0,9,21,0,4,1,5,9,6,161,439,362,147
pgrouting,2020-06-09T21:26:35.672Z,88,68,30,15,6,0,0,155,285,790,177,0,49,202,161,39,0
sudobot,2024-01-04T05:01:15.548Z,6,20,377,413,115,211,217,102,167,226,335,259,78,125,786,407,277
azerothcore,2020-08-09T18:17:35.271Z,49,32,36,52,64,86,78,55,106,131,61,178,166,174,232,206,291
ueransim,2021-01-31T11:45:15.487Z,0,0,0,0,0,0,0,0,0,225,73,215,355,38,6,8,17
altair,2018-04-09T20:55:13.657Z,73,3,2,151,19,71,23,64,7,84,32,62,182,219,407,151,170
moonshine,2023-06-29T18:40:35.790Z,4,19,106,101,63,141,319,270,106,79,280,293,431,291,242,156,123
astrodotbuild,2021-08-14T02:58:28.579Z,0,0,0,80,105,124,314,297,259,171,133,264,154,216,160,332,359
poolifier,2022-10-22T16:48:07.246Z,0,5,16,4,5,6,29,18,238,18,23,25,21,63,329,203,254
codeeditapp,2022-03-30T03:59:21.133Z,0,0,0,0,0,0,0,0,616,519,113,60,18,21,42,50,12
mvvmcross,2017-04-25T12:51:57.157Z,47,93,100,76,84,37,239,127,321,350,196,167,163,179,206,224,142
excalidraw,2020-01-25T21:16:30.999Z,0,0,0,0,0,0,0,0,414,119,165,198,76,67,83,75,39
podsframework,2021-07-22T06:16:10.631Z,91,78,41,124,45,101,164,85,29,244,270,429,235,100,99,86,55
react-admin,2022-01-27T02:31:10.515Z,152,138,66,126,147,212,397,446,607,490,429,221,256,248,222,220,381
univer,2023-12-26T03:21:20.578Z,34,1,51,66,37,144,108,214,258,187,86,205,199,159,172,164,262
flow-launcher,2022-07-06T04:46:42.955Z,300,286,113,31,36,14,12,31,40,62,153,277,473,338,144,57,96
neovim,2020-09-14T02:34:22.376Z,180,169,86,104,114,115,109,135,202,216,280,254,174,139,218,268,227
openaddresses,2020-01-04T16:05:09.586Z,16,49,20,5,46,57,16,13,129,92,77,111,90,15,56,139,384
