slug,first_donation_date,-6月,-5月,-4月,-3月,-2月,-1月,0月,+1月,+2月,+3月,+4月,+5月,+6月
mswjs,2021-03-02T15:32:21.904Z,0,0,0,0,0,0,0,0,0,3,0,2,0
catppuccin,2022-08-30T23:27:35.724Z,0,0,0,0,0,0,0,0,0,0,0,0,0
vite,2023-02-06T02:20:16.680Z,0,0,0,0,0,0,0,0,0,0,0,0,0
craftjs,2020-07-12T13:49:54.415Z,0,0,0,0,0,0,0,0,0,0,0,0,0
xmake,2019-09-05T06:58:05.080Z,0,0,0,0,0,0,0,0,0,0,0,0,0
omigroup,2021-06-30T16:41:44.516Z,0,0,0,0,0,0,0,0,0,0,0,0,0
cronus,2022-08-10T12:11:17.423Z,0,0,3,0,1,0,0,0,0,0,0,0,0
svgr,2018-09-26T14:08:30.564Z,0,0,0,1,7,14,44,13,32,2,11,3,1
immer,2019-09-16T02:15:08.079Z,0,0,0,0,0,0,0,0,0,0,0,0,0
erxes,2018-01-15T22:38:40.546Z,0,0,0,0,0,0,0,0,0,0,0,0,0
mediasoup,2019-02-26T15:27:52.552Z,0,0,0,0,0,0,0,0,0,0,0,0,0
masscode,2021-04-29T19:08:39.551Z,0,0,0,0,0,0,0,0,0,0,0,0,0
terser,2019-09-04T10:46:37.653Z,0,0,0,0,0,0,0,0,0,0,0,0,0
jrnl,2020-03-11T04:05:38.015Z,0,0,0,0,0,0,0,0,0,0,0,0,0
independent-solid-test-suite,2021-05-06T10:31:58.632Z,0,0,0,0,0,0,0,0,0,0,0,0,0
y-collective,2021-04-22T16:27:28.210Z,0,0,0,0,0,0,0,0,0,0,0,0,0
babashka,2020-03-31T13:19:37.998Z,0,0,0,0,0,0,0,0,0,0,0,0,0
effector,2020-10-17T11:48:19.833Z,0,0,0,0,0,0,0,0,0,0,0,0,0
hexo,2019-07-10T22:32:10.443Z,0,0,0,0,0,0,0,0,0,0,0,0,0
zoneminder,2021-05-07T11:21:04.131Z,0,0,0,0,0,0,0,0,0,0,0,0,0
electron-react-boilerplate-594,2017-05-06T22:25:58.385Z,0,0,0,0,0,1,1,0,0,0,0,0,0
dosbox-staging,2021-05-11T21:26:58.073Z,0,0,1,2,0,0,0,0,3,0,1,0,0
dockstarter,2019-03-17T20:13:22.779Z,0,0,0,0,0,0,0,0,0,0,0,0,0
bundlephobia,2018-07-24T11:32:25.532Z,0,0,0,0,0,0,0,0,0,0,0,0,0
wolvic,2022-10-19T02:38:29.083Z,0,2,0,0,0,0,0,0,2,0,0,1,0
synfig,2020-04-15T21:36:30.861Z,0,0,0,0,0,0,0,0,0,0,0,0,0
kcanotify,2019-06-18T16:21:39.570Z,0,0,0,0,0,0,0,0,0,0,0,0,0
thelounge,2018-03-26T18:32:27.641Z,0,0,0,0,0,0,0,0,0,0,0,0,0
elk,2023-01-12T10:14:38.505Z,0,0,0,0,0,0,0,0,0,0,0,0,0
amberelec,2022-04-17T04:34:40.098Z,0,0,0,0,0,0,0,0,0,0,0,0,0
graphql-net,2020-05-13T23:39:32.988Z,0,0,0,0,0,0,0,0,0,0,0,0,0
purpurmc,2021-12-02T00:25:34.873Z,0,0,1,0,0,0,1,0,0,0,0,0,0
kingfisher,2017-07-02T05:21:21.812Z,0,0,0,0,0,0,0,0,0,0,0,0,0
merveilles,2020-05-26T18:16:15.729Z,0,0,0,0,0,0,0,0,0,0,0,0,0
polybar,2020-12-19T17:24:46.048Z,0,0,0,0,0,0,0,0,0,0,0,0,0
react-dropzone,2018-02-26T13:13:39.857Z,0,0,0,0,0,0,0,0,0,0,0,0,0
dokploy,2024-05-31T06:53:21.538Z,0,0,0,0,0,0,0,0,0,0,0,0,0
openhd,2020-10-22T03:56:02.277Z,0,0,0,0,0,0,0,0,0,0,0,0,0
ant-design-vue,2018-09-06T00:41:55.764Z,0,0,0,0,0,0,0,0,0,0,1,0,0
julialang,2021-06-15T20:37:53.501Z,0,0,2,1,0,0,0,0,1,1,4,2,0
kumbiaphp,2020-01-15T15:45:33.981Z,0,0,0,0,0,0,0,0,0,0,0,0,0
kumbiaphp,2020-01-15T15:45:33.981Z,0,0,0,0,0,0,0,0,0,0,0,0,0
lvgl,2021-02-03T10:36:13.452Z,0,0,0,0,0,0,0,0,0,0,0,0,0
censusreporter,2021-01-29T20:39:47.184Z,0,0,0,0,0,0,0,0,0,0,0,0,0
litiengine,2020-10-05T07:30:13.664Z,0,0,0,0,0,0,0,0,0,0,0,0,0
marktext,2018-05-08T18:24:53.865Z,0,0,0,0,0,0,0,0,0,0,0,0,0
quicksilver,2022-02-01T03:27:21.249Z,0,0,0,0,0,0,0,0,0,0,0,0,0
tabler,2018-08-29T22:57:31.821Z,0,0,0,0,0,0,0,0,0,0,0,0,0
liquidjs,2020-02-26T15:51:42.909Z,0,0,0,0,0,0,0,0,0,0,0,0,0
bazel-rules-authors-sig,2021-12-09T00:24:09.931Z,0,0,0,0,0,0,0,0,0,0,0,0,0
advancedfx,2019-09-10T18:47:57.469Z,0,0,0,0,0,0,0,0,0,0,0,0,0
code-settings-sync,2018-03-20T13:17:26.114Z,0,0,0,0,0,0,0,0,0,0,0,0,0
nvim-treesitter,2021-07-06T16:53:02.962Z,0,0,0,0,0,0,0,1,0,0,0,1,0
