project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,+1月,+2月,+3月,+4月,+5月,+6月,+7月,+8月
AeroSpace,2024-03-28T09:35:53Z,0,0,1,0,1,1,9,1,0,1,4,3,1,7,3,7,7
docker-android,2023-05-17T09:24:50Z,0,0,0,1,1,0,0,0,1,0,5,4,2,1,0,5,2
czkawka,2021-01-14T20:42:18Z,0,0,0,0,0,30,10,33,31,24,10,2,11,3,6,7,2
agents-towards-production,2025-01-06T19:46:22Z,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,1,3
jaspr,2023-03-13T16:54:32Z,5,2,2,2,0,0,0,1,0,16,4,0,3,13,5,3,6
hatch,2022-06-30T03:40:15Z,0,1,4,4,16,31,25,30,15,54,33,39,33,19,24,19,4
WindowsSpyBlocker,2020-07-29T19:28:09Z,0,3,4,2,4,0,1,6,5,8,7,9,7,4,4,10,7
Learning-Bitcoin-from-the-Command-Line,2020-03-26T02:44:19Z,0,6,0,0,1,1,6,0,0,0,6,15,5,13,15,0,3
yay,2022-09-11T19:14:10Z,4,19,9,2,2,2,3,17,4,1,8,16,24,19,85,53,31
insta,2022-01-30T00:17:46Z,2,0,0,0,2,0,0,5,6,0,3,1,2,3,15,10,5
collision,2020-02-21T06:07:09Z,0,1,0,1,0,2,3,7,2,5,6,1,8,7,4,5,4
Sunshine,2022-12-19T09:12:25Z,14,7,25,11,19,8,36,24,71,124,44,72,66,56,32,45,51
ebiten,2019-12-29T03:35:16Z,1,2,0,0,2,2,1,1,5,9,9,3,0,3,9,6,9
ente,2024-06-11T05:03:33Z,37,36,14,22,15,284,218,267,260,171,294,257,169,224,149,224,183
three.js,2020-12-28T04:52:02Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,166
dprint,2021-06-09T16:38:20Z,0,0,0,9,1,1,0,2,0,0,8,3,5,2,6,6,12
tsx,2023-08-10T11:48:15Z,2,1,1,6,4,1,1,0,4,17,6,39,6,4,2,1,13
swc,2021-10-01T13:18:59Z,36,32,48,68,41,54,86,63,189,170,140,156,260,287,194,255,135
mold,2022-04-28T10:01:49Z,5,0,2,0,29,31,15,9,21,9,8,13,33,40,39,24,13
darwinkit,2020-09-30T18:29:53Z,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,4,3
page-assist,2023-09-20T14:48:04Z,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,7,10
afero,2025-03-17T17:43:31Z,1,0,0,0,1,0,13,16,15,9,10,5,5,11,10,11,0
ComputeSharp,2020-12-08T23:12:05Z,0,0,3,0,0,1,0,0,7,9,6,12,1,3,0,5,0
react-day-picker,2021-11-01T01:22:45Z,5,2,2,2,2,0,0,1,20,42,7,5,3,7,3,5,6
react-dropzone,2024-08-19T19:50:27Z,0,0,0,0,0,0,0,0,0,0,17,9,2,1,1,1,0
typesense,2022-06-12T04:58:21Z,1,2,1,0,0,5,0,1,1,3,1,5,6,4,4,14,9
Swashbuckle.AspNetCore,2024-02-08T13:05:25Z,5,4,3,7,6,3,1,3,1,0,45,60,20,19,32,18,24
aliyundrive-webdav,2021-12-14T12:20:23Z,0,0,0,0,1,8,6,5,5,9,3,8,5,7,2,11,9
oryx,2024-08-28T20:30:04Z,0,0,0,0,0,0,0,0,0,11,11,1,0,1,0,2,2
scientific-visualization-book,2021-11-21T20:00:52Z,1,0,0,0,0,0,0,0,10,7,3,1,1,1,0,3,11
quartz,2023-09-05T17:13:01Z,10,7,5,6,5,1,13,44,49,13,16,18,78,117,58,30,31
BetterChatGPT,2022-09-26T01:19:26Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,30,16
gluetun,2020-02-25T19:32:21Z,0,1,0,5,0,3,2,1,5,12,4,2,3,10,5,8,11
vscode-drawio,2020-06-25T14:08:39Z,0,0,0,0,0,0,0,12,22,3,1,5,20,3,1,2,3
zotero-better-notes,2023-01-04T18:31:29Z,0,0,0,0,0,0,5,13,10,13,3,1,2,7,6,10,4
scrutiny,2022-01-18T00:10:11Z,0,0,0,1,0,1,0,1,1,0,1,1,10,11,12,6,3
uptime-kuma,2021-11-20T09:32:26Z,0,0,0,0,56,54,112,115,33,33,46,17,22,54,24,48,24
ai-engineering-hub,2025-03-31T16:35:46Z,0,0,0,0,1,7,9,1,71,9,8,10,15,19,8,5,0
rustdesk,2022-09-14T05:53:31Z,10,17,4,9,70,49,64,82,100,80,177,115,120,172,204,156,99
owl,2025-03-10T12:32:26Z,0,0,0,0,0,0,0,0,140,14,10,1,6,5,1,0,0
scira,2024-09-14T19:25:45Z,0,0,0,0,0,0,0,4,0,0,0,5,12,12,5,5,4
glance,2024-08-09T19:06:41Z,0,0,0,0,3,26,6,8,7,8,13,5,2,8,13,51,31
git-cliff,2022-12-29T10:49:16Z,3,0,2,2,0,2,4,0,2,5,1,1,10,17,21,29,23
drizzle-orm,2023-03-17T20:17:25Z,2,0,0,0,19,51,37,23,54,68,34,19,16,38,22,16,28
100-exercises-to-learn-rust,2024-02-14T18:33:55Z,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,17,30
btop,2021-05-09T00:05:06Z,0,0,0,0,0,0,0,0,0,0,0,0,11,15,3,12,5
auto-animate,2022-03-16T17:55:56Z,0,0,0,0,0,0,0,0,0,0,1,8,5,5,5,3,1
ezno,2023-04-22T16:43:23Z,0,0,0,0,0,0,0,7,1,0,5,1,9,5,8,9,5
kmon,2022-12-29T10:49:16Z,0,0,0,0,0,0,2,0,1,0,0,1,14,8,11,7,9
blender-mcp,2025-03-21T10:44:34Z,0,0,0,0,0,0,0,0,26,4,5,8,4,5,1,2,0
