slug,name,owner,description,stargazerCount,forkCount,watchersCount,openIssuesCount,openPullRequestsCount,releasesCount,primaryLanguage,createdAt,updatedAt,url,hasGithubSponsor
jd_fastcounter,fastcounter,jd,Fast counters for Python,40,7,4,2,0,2,Python,2019-11-22T14:03:18Z,2024-11-28T16:34:33Z,https://github.com/jd/fastcounter,True
jd_fastcounter,fastcounter,jd,Fast counters for Python,40,7,4,2,0,2,Python,2019-11-22T14:03:18Z,2024-11-28T16:34:33Z,https://github.com/jd/fastcounter,True
agrawal-rohit_tic-tac-toe-bot,tic-tac-toe-ai-bots,agrawal-rohit,AI bots playing Tic Tac Toe,34,56,1,0,0,0,Python,2018-12-12T10:39:09Z,2025-04-01T19:53:38Z,https://github.com/agrawal-rohit/tic-tac-toe-bot,True
agrawal-rohit_tic-tac-toe-bot,tic-tac-toe-ai-bots,agrawal-rohit,AI bots playing Tic Tac Toe,34,56,1,0,0,0,Python,2018-12-12T10:39:09Z,2025-04-01T19:53:38Z,https://github.com/agrawal-rohit/tic-tac-toe-bot,True
benedekrozemberczki_nmfadmm,NMFADMM,benedekrozemberczki,"A sparsity aware implementation of ""Alternating Direction Method of Multipliers for Non-Negative Matrix Factorization with the Beta-Divergence""  (ICASSP 2014).",47,11,4,0,0,0,Python,2019-01-04T13:16:59Z,2025-07-22T08:02:57Z,https://github.com/benedekrozemberczki/NMFADMM,True
benedekrozemberczki_nmfadmm,NMFADMM,benedekrozemberczki,"A sparsity aware implementation of ""Alternating Direction Method of Multipliers for Non-Negative Matrix Factorization with the Beta-Divergence""  (ICASSP 2014).",47,11,4,0,0,0,Python,2019-01-04T13:16:59Z,2025-07-22T08:02:57Z,https://github.com/benedekrozemberczki/NMFADMM,True
plone_products.contentmigration,Products.contentmigration,plone,Generic content migration framework helping to write custom content migrations,2,5,162,5,1,0,Python,2011-11-19T22:09:25Z,2021-10-07T13:49:58Z,https://github.com/plone/Products.contentmigration,True
plone_products.contentmigration,Products.contentmigration,plone,Generic content migration framework helping to write custom content migrations,2,5,162,5,1,0,Python,2011-11-19T22:09:25Z,2021-10-07T13:49:58Z,https://github.com/plone/Products.contentmigration,True
fmcalisto_list-manipulation,lisp-manipulation,FMCalisto,Short Lisp Manipulation,2,0,4,0,0,0,Common Lisp,2014-09-27T18:56:40Z,2019-08-13T15:51:41Z,https://github.com/FMCalisto/list-manipulation,True
fmcalisto_list-manipulation,lisp-manipulation,FMCalisto,Short Lisp Manipulation,2,0,4,0,0,0,Common Lisp,2014-09-27T18:56:40Z,2019-08-13T15:51:41Z,https://github.com/FMCalisto/list-manipulation,True
