project_name,first_donation_date,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月
alphawallet,2020-12-01,78.0,56.0,27.0,53.0,28.0,70.0,39.0,38.0,62.0,63.0,30.0,36.0,28.0
atxdao,2022-08-01,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tor-project,2021-06-01,0.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0
commonsbuild,2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0
guardian-project,2024-10-01,6.0,2.0,8.0,0.0,0.0,0.0,8.0,2.0,0.0,23.0,2.0,4.0,6.0
atilatech,2023-08-01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
apeworx,2022-06-01,26.0,41.0,20.0,28.0,26.0,34.0,29.0,29.0,30.0,43.0,14.0,21.0,11.0
orbitdb,2024-04-01,1.0,85.0,3.0,9.0,1.0,5.0,4.0,1.0,1.0,3.0,2.0,0.0,2.0
dimensiondev,2020-04-01,27.0,39.0,69.0,16.0,41.0,34.0,23.0,25.0,50.0,39.0,40.0,35.0,76.0
planetable,2023-04-01,8.0,12.0,1.0,6.0,0.0,0.0,3.0,11.0,1.0,3.0,2.0,4.0,0.0
spect-ai,2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
matrixai,2024-10-01,20.0,42.0,33.0,20.0,21.0,9.0,12.0,26.0,8.0,11.0,6.0,17.0,13.0
redstone-finance,2022-06-01,0.0,0.0,2.0,0.0,0.0,9.0,4.0,19.0,13.0,4.0,12.0,14.0,37.0
nftearth,2023-09-01,15.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cartesi,2021-02-01,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
electronic-frontier-foundation,2021-11-01,6.0,32.0,39.0,40.0,22.0,0.0,10.0,6.0,7.0,44.0,5.0,3.0,7.0
